2012-3	-0.1	   
2012-4	-0.8	   
2012-5	-1.4	   
2012-6	-3.5	   
2012-7	-1.4	   
2012-8	-1	   
2012-9	1.1	   
2012-10	-0.9	   
2012-11	0.5	   
2012-12	-0.9	 
